Architecture    Offer                 Publisher                      Sku                                               Urn                                                                                                          Version
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.9140.260507                 14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.9234.260607                 14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.9339.260711                 14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7121                                    6.0.7121
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7201                                    6.0.7201
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7205                                    6.0.7205
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7214                                    6.0.7214
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7531                                    6.0.7531
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.2.7731                                    6.2.7731
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.2.7756                                    6.2.7756
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.2.7757                                    6.2.7757
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.3.8310                                    6.3.8310
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.3.8329                                    6.3.8329
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.3.8330                                    6.3.8330
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.3.8352                                    6.3.8352
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2019                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.3.8355                                    6.3.8355
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.8594.251112              14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.8688.251205              14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.8783.260109              14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.8868.260206              14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.8957.260304              14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.9060.260413              14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.9140.260507              14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.9234.260607              14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-smalldisk-g2          MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-smalldisk-g2:14393.9339.260711              14393.9339.260711
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.8594.251112                             14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.8688.251205                             14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.8783.260109                             14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.8868.260206                             14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.8957.260304                             14393.8957.260304
